class,nl,en,orthographic_similarity,meaning_rating,spelling_rating,pronunciation_rating,frequency_per_million_nl,example_sentence_nl
identical-cognate,accent,accent,1,7,7,5.46,11.64,Volgens de leraar Duits heeft hij een beetje een Nederlands accent.
identical-cognate,alarm,alarm,1,6.62,7,6.69,34.78,Elke eerste maandag van de maand gaat in Nederland het alarm af.
identical-cognate,amber,amber,1,6.31,7,5.85,8.14,Alles in de Barnsteenkamer van de Tsaar was van amber gemaakt.
identical-cognate,blind,blind,1,6.79,7,4.93,35.61,"Het is een welbekend misverstand, maar vleermuizen zijn niet blind."
identical-cognate,bus,bus,1,7,7,5.62,64.83,Hij nam die dag de bus naar zijn werk.
identical-cognate,campus,campus,1,7,7,5.77,8.12,In hun eerste jaar wonen alle geneeskunde studenten op campus. 
identical-cognate,chaos,chaos,1,7,7,5.08,15.8,Na de revolutie in 1789 verkeerde Frankrijk in chaos.
identical-cognate,circus,circus,1,7,7,6.17,13.77,De acrobaat was zeer te spreken over de directeur van het circus.
identical-cognate,code,code,1,6.85,7,5.77,46.7,De hacker had slechts een uur nodig om de code te kraken.
identical-cognate,coma,coma,1,7,7,6.77,14.09,Na bijna zeven jaar ontwaakte de patiënt alsnog uit zijn coma.
identical-cognate,concept,concept,1,7,7,5.92,5.88,"Voor rijke mensen is ""geen geld"" een vreemd concept."
identical-cognate,contact,contact,1,6.47,7,6,92.52,Het HIV-virus wordt onder andere verspreid door seksueel contact.
identical-cognate,crisis,crisis,1,6.92,6.92,5.58,11.89,De werkloosheid nam toe door de economische crisis.
identical-cognate,detail,detail,1,6.79,7,4.57,9.26,De managementassistente heeft echt oog voor detail.
identical-cognate,duel,duel,1,7,7,5.5,4.85,Vroeger losten mannen hun ruzies vaak op met een duel.
identical-cognate,echo,echo,1,6.5,7,5.14,8.92,In een anechoische kamer hoor je geen echo.
identical-cognate,ego,ego,1,7,7,5.38,7.98,"Dat niemand zijn schilderijen mooi vond, kwetste zijn ego."
identical-cognate,film,film,1,6.38,7,6.77,174.28,Heb je de nieuwste James Bond film al gezien?
identical-cognate,fort,fort,1,6.92,7,6.46,9.38,Het museum is gevestigd in een oud fort.
identical-cognate,fruit,fruit,1,7,7,4.77,12.94,In de zeventiende eeuw schilderde men veel stillevens van fruit.
identical-cognate,gas,gas,1,7,7,5.25,26.41,"In de scheikunde spreekt men van drie fasen: vast, vloeibaar en gas."
identical-cognate,golf,golf,1,7,7,6.08,17.54,In haar vrije tijd speelt ze graag een spelletje golf.
identical-cognate,hand,hand,1,7,7,5.83,199.91,Het is onverstandig met een schaar in de hand te rennen.
identical-cognate,hotel,hotel,1,7,7,6.75,88.73,Tijdens hun vakantie verbleven ze in een duur hotel.
identical-cognate,instinct,instinct,1,6.86,7,6.21,9.81,Hij moet leren meer te vertrouwen op zijn instinct.
identical-cognate,jeep,jeep,1,7,7,7,7.71,Op oneven terrein kun je het beste met een jeep rijden.
identical-cognate,jury,jury,1,6.6,7,5.6,31.17,"De kandidate die won, bedankte de jury."
identical-cognate,lamp,lamp,1,7,7,6,13.88,In de kelder hing slechts één lamp.
identical-cognate,lens,lens,1,6.67,6.92,6.42,4.14,Het belangrijkste onderdeel van het oog is de lens.
identical-cognate,lip,lip,1,6.73,7,6.73,5.92,Alle leden van de rockband hadden een piercing door hun lip.
identical-cognate,menu,menu,1,6.93,7,5.07,6.63,"Zodra ze aan tafel zaten, kregen ze van de ober het menu."
identical-cognate,mild,mild,1,6.27,7,5.13,2.47,Ondanks de grote hoeveelheid chilipoeder was het gerecht mild.
identical-cognate,model,model,1,6.53,7,5.27,20.24,Het meisje wilde haar hele leven lang al model worden.
identical-cognate,moment,moment,1,7,7,5.38,253.97,Zijn bruiloft was het gelukkigste moment van zijn leven.
identical-cognate,motto,motto,1,6.8,7,6.13,5.17,"""Geef nooit op!"" zou ieders motto moeten zijn."
identical-cognate,nest,nest,1,6.86,7,6.79,11.27,Eekhoorns bouwen elk jaar een nieuw nest.
identical-cognate,oven,oven,1,7,7,5.85,9.9,Het gerecht moest bijna een uur in de oven.
identical-cognate,park,park,1,6.62,7,6.54,30.87,"Omdat het zulk mooi weer was, gingen ze picknicken in het park."
identical-cognate,pen,pen,1,6.93,7,6.8,21.66,Examens moeten met een blauwe pen ingevuld worden.
identical-cognate,plan,plan,1,6.2,7,5.67,143.34,In menig stripverhaal heeft de slechterik een duivels plan.
identical-cognate,plant,plant,1,6.92,7,5.62,11.69,De enige decoratie in haar kantoor was een halfdode plant.
identical-cognate,rat,rat,1,7,7,5.33,22.73,"Het stekelvarken is een knaagdier, net als de rat."
identical-cognate,rib,rib,1,6.92,7,6.08,2.17,Het paard was zo mager dat je elke rib kon zien.
